question,answer,link_text,link_url,sort_order,status,tags
Do you add any sugar or preservatives?,"No, absolutely not. Our sugarcane juice is 100% natural, pressed live from the stalk. The sweetness comes entirely from the natural sugars in the cane itself.",,,1,active,general;juice
How long does the juice stay fresh?,"Fresh sugarcane juice is best enjoyed immediately after pressing. If kept chilled it can stay fresh for up to 24 hours.",,,2,active,general;juice
Is the juice suitable for everyone?,"Yes! Fresh sugarcane juice is naturally vegan, gluten-free and dairy-free. Please consume responsibly if you are managing blood sugar levels.",,,3,active,general
What types of events can I hire you for?,"We cater for Indian weddings, Mehndi nights, Sangeet evenings, Eid parties, Diwali celebrations, Vaisakhi melas, birthdays, corporate gatherings and community events across the UK.",Hire Us,#contact,4,active,events
How much does it cost to hire you for an event?,"Pricing is customised based on your event size, location, duration and number of guests. Get in touch for a personalised quote.",Get a Quote,#contact,5,active,events
How much notice do you need for event bookings?,"We recommend booking at least 2-4 weeks in advance, especially during peak season (April-October).",,,6,active,events
What is the difference between Yellow Cane and Red Cane?,"Yellow Cane produces a lighter golden juice with a clean, mild sweetness. Red Cane (+£0.50) is naturally richer with a deeper amber colour and more intense sweetness.",,,7,active,juice
What flavour blends do you offer?,"Pure Cane (included), Citrus Blends - Lemon, Ginger, Lemon & Ginger, Mint (+£0.50 each) - and Tropical Blends - Pineapple, Watermelon, Mango",,,8,active,juice
Is your sugarcane sustainable?,"Yes! Sugarcane is one of the most sustainable crops on earth. Our leftover fibre (bagasse) is completely biodegradable.",,,9,active,general
How can I become a franchise partner?,"We welcome franchise enquiries from across the UK - permanent stalls, mobile units or events-focused operations. Use the contact form to start the conversation.",Become a Partner,#contact,10,active,franchise
